epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3612,1.50916,2.96334,1.7786,0.04399,0.22685,0.02992,0.00662,2.63478,104.549,5.02757,0.000472297,0.000472297,0.000472297
2,120.32,1.58356,2.30065,1.86588,0.77312,0.13333,0.09279,0.03538,2.21942,4.45657,2.6276,0.000939239,0.000939239,0.000939239
3,165.779,1.53959,2.21062,1.81551,0.85794,0.10476,0.15483,0.06631,2.50558,2.80653,2.85551,0.00139675,0.00139675,0.00139675
4,211.35,1.54742,2.18823,1.82656,0.88308,0.1851,0.21295,0.11502,2.30331,2.88381,2.6556,0.00138656,0.00138656,0.00138656
5,257.056,1.46502,1.99599,1.75526,0.39094,0.55347,0.50934,0.29993,1.54438,1.80204,2.04599,0.00137241,0.00137241,0.00137241
6,302.596,1.41974,1.863,1.71907,0.82499,0.34317,0.46124,0.28432,1.51934,2.09623,2.03794,0.00135826,0.00135826,0.00135826
7,347.709,1.38222,1.81509,1.6988,0.2304,0.6023,0.52623,0.34471,1.36175,1.70237,1.83234,0.00134412,0.00134412,0.00134412
8,395.156,1.35218,1.77312,1.67973,0.41086,0.60954,0.55301,0.38327,1.28719,1.56503,1.78689,0.00132997,0.00132997,0.00132997
9,448.92,1.24755,1.62111,1.58588,0.43687,0.62288,0.57134,0.38454,1.29017,1.54499,1.79752,0.00131582,0.00131582,0.00131582
10,503.287,1.26511,1.64555,1.61527,0.44214,0.55444,0.44458,0.23457,1.38324,1.63706,1.80995,0.00130168,0.00130168,0.00130168
11,555.98,1.31765,1.6491,1.63455,0.42344,0.62917,0.51499,0.31975,1.34928,1.59959,1.79335,0.00128753,0.00128753,0.00128753
12,601.045,1.25366,1.55294,1.58786,0.7915,0.53314,0.6004,0.41646,1.3044,1.46084,1.71887,0.00127338,0.00127338,0.00127338
13,646.421,1.23871,1.54805,1.57252,0.51882,0.66574,0.54798,0.35322,1.25874,1.39306,1.72788,0.00125923,0.00125923,0.00125923
14,691.819,1.22393,1.53079,1.55818,0.4619,0.61146,0.62032,0.39997,1.25823,1.53167,1.69801,0.00124509,0.00124509,0.00124509
15,737.108,1.23288,1.53277,1.55927,0.77889,0.60773,0.63458,0.4378,1.22787,1.31201,1.65674,0.00123094,0.00123094,0.00123094
16,782.526,1.18623,1.45638,1.51746,0.58211,0.71764,0.65019,0.45721,1.22094,1.2599,1.66612,0.00121679,0.00121679,0.00121679
17,828.101,1.20408,1.43322,1.53348,0.51018,0.70157,0.64274,0.45545,1.25924,1.46725,1.69538,0.00120265,0.00120265,0.00120265
18,873.292,1.20419,1.41806,1.52294,0.55151,0.66904,0.61219,0.43854,1.20652,1.31773,1.70971,0.0011885,0.0011885,0.0011885
19,918.447,1.16645,1.44862,1.51791,0.54412,0.7563,0.69809,0.49408,1.18222,1.22055,1.64993,0.00117435,0.00117435,0.00117435
20,963.818,1.18695,1.43598,1.53483,0.61371,0.72542,0.64437,0.43172,1.21885,1.27503,1.6422,0.00116021,0.00116021,0.00116021
21,1009.02,1.19659,1.41392,1.53764,0.73074,0.65123,0.6745,0.47378,1.25579,1.28046,1.64881,0.00114606,0.00114606,0.00114606
22,1054.43,1.14107,1.36324,1.50784,0.57336,0.77672,0.66618,0.474,1.20577,1.22679,1.61291,0.00113191,0.00113191,0.00113191
23,1100.1,1.11237,1.33908,1.46531,0.47427,0.75951,0.65136,0.47438,1.20554,1.24497,1.62888,0.00111776,0.00111776,0.00111776
24,1145.47,1.14438,1.3201,1.50433,0.70085,0.68982,0.69295,0.48883,1.21509,1.20971,1.62226,0.00110362,0.00110362,0.00110362
25,1194.94,1.09654,1.31797,1.47438,0.5236,0.7465,0.70217,0.49834,1.19247,1.22882,1.60072,0.00108947,0.00108947,0.00108947
26,1249.09,1.12267,1.28232,1.45621,0.66795,0.6237,0.67954,0.48675,1.20385,1.23629,1.63224,0.00107532,0.00107532,0.00107532
27,1303.02,1.11221,1.30011,1.48643,0.55145,0.75686,0.64598,0.45793,1.21423,1.26446,1.63436,0.00106118,0.00106118,0.00106118
28,1356.53,1.12107,1.34786,1.48371,0.69271,0.72182,0.76533,0.5492,1.16719,1.16625,1.63031,0.00104703,0.00104703,0.00104703
29,1410.44,1.13956,1.33944,1.48582,0.63639,0.75094,0.70571,0.49129,1.19464,1.14655,1.60674,0.00103288,0.00103288,0.00103288
30,1464.41,1.09735,1.26819,1.45419,0.63705,0.77018,0.73545,0.52435,1.15786,1.09864,1.58016,0.00101873,0.00101873,0.00101873
31,1518.67,1.08063,1.28103,1.43143,0.63683,0.70714,0.69258,0.48162,1.16972,1.18666,1.59936,0.00100459,0.00100459,0.00100459
32,1572.12,1.05416,1.21694,1.40972,0.61405,0.73907,0.74,0.53277,1.19267,1.12481,1.60234,0.00099044,0.00099044,0.00099044
33,1625.85,1.0874,1.26123,1.44177,0.71469,0.77415,0.74063,0.50317,1.19442,1.1046,1.62985,0.000976293,0.000976293,0.000976293
34,1679.3,1.05434,1.225,1.43967,0.61063,0.79009,0.70404,0.51132,1.16107,1.12563,1.58551,0.000962146,0.000962146,0.000962146
35,1733.22,1.11885,1.23553,1.45747,0.68853,0.71412,0.74856,0.5175,1.30662,1.16175,1.68568,0.000947999,0.000947999,0.000947999
36,1786.74,1.11727,1.26696,1.48088,0.65981,0.76647,0.73204,0.52325,1.11887,1.07388,1.56082,0.000933851,0.000933851,0.000933851
37,1840.64,1.05501,1.18609,1.43203,0.69752,0.77171,0.77588,0.55058,1.16997,1.10948,1.61791,0.000919704,0.000919704,0.000919704
38,1894.1,1.02878,1.14442,1.39657,0.68448,0.78981,0.75639,0.54251,1.12749,1.09827,1.55586,0.000905557,0.000905557,0.000905557
39,1947.46,1.04208,1.12581,1.41208,0.63808,0.74202,0.72618,0.51866,1.22291,1.23168,1.64909,0.00089141,0.00089141,0.00089141
40,2001.91,1.06232,1.15776,1.41971,0.61842,0.80269,0.7627,0.53796,1.23587,1.18813,1.62422,0.000877263,0.000877263,0.000877263
41,2049.97,1.05465,1.15552,1.43575,0.69655,0.68595,0.7292,0.53189,1.18427,1.09326,1.59201,0.000863116,0.000863116,0.000863116
42,2095.43,1.06936,1.1251,1.43511,0.71327,0.74834,0.72016,0.53783,1.2,1.13645,1.58775,0.000848969,0.000848969,0.000848969
43,2140.82,1.03565,1.14543,1.41225,0.71601,0.76628,0.76439,0.54256,1.19615,1.10941,1.60118,0.000834822,0.000834822,0.000834822
44,2186.48,1.01921,1.09026,1.3983,0.68563,0.70803,0.72343,0.51824,1.16436,1.09611,1.59774,0.000820675,0.000820675,0.000820675
45,2232.19,1.02171,1.11444,1.41172,0.68704,0.82739,0.77043,0.55245,1.15558,1.02268,1.56731,0.000806528,0.000806528,0.000806528
46,2278.6,1.00792,1.08453,1.38964,0.61725,0.72963,0.7068,0.52775,1.15265,1.18212,1.56243,0.00079238,0.00079238,0.00079238
47,2323.83,0.99846,1.06573,1.38538,0.63867,0.79954,0.75563,0.54089,1.21266,1.16193,1.61027,0.000778233,0.000778233,0.000778233
48,2369.68,1.00422,1.07488,1.37931,0.70734,0.74313,0.75818,0.54008,1.22948,1.15153,1.61775,0.000764086,0.000764086,0.000764086
