epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9599,1.45901,2.69256,1.64517,0.61183,0.25285,0.25279,0.12578,1.95061,2.61312,2.0572,0.000472297,0.000472297,0.000472297
2,135.047,1.43932,2.02851,1.64368,0.42702,0.11698,0.06412,0.01797,2.54752,6.84362,3.15379,0.000939239,0.000939239,0.000939239
3,166.049,1.41567,1.97698,1.65016,0.58334,0.23261,0.3274,0.16739,1.8022,2.6878,2.16853,0.00139675,0.00139675,0.00139675
4,198.024,1.43548,1.90002,1.67309,0.36054,0.29692,0.027,0.00919,2.18792,13.5272,2.80709,0.00138656,0.00138656,0.00138656
5,229.524,1.40404,1.82304,1.64531,0.34805,0.5906,0.42496,0.27681,1.37888,2.40562,1.75645,0.00137241,0.00137241,0.00137241
6,260.578,1.37257,1.72374,1.5797,0.43551,0.60964,0.45322,0.29463,1.47019,1.69369,1.76942,0.00135826,0.00135826,0.00135826
7,292.292,1.30713,1.66756,1.54328,0.39263,0.65533,0.51306,0.36985,1.27123,1.77208,1.55875,0.00134412,0.00134412,0.00134412
8,324.006,1.30675,1.66563,1.55487,0.66452,0.59552,0.62025,0.40562,1.41485,1.57045,1.67207,0.00132997,0.00132997,0.00132997
9,355.625,1.2176,1.54704,1.46985,0.44901,0.68196,0.57704,0.4091,1.24358,1.40831,1.57418,0.00131582,0.00131582,0.00131582
10,387.263,1.21296,1.55368,1.4922,0.44832,0.69698,0.64307,0.43144,1.28941,1.35512,1.61526,0.00130168,0.00130168,0.00130168
11,418.132,1.23837,1.53308,1.50918,0.49854,0.75059,0.62156,0.43584,1.17551,1.24698,1.50765,0.00128753,0.00128753,0.00128753
12,449.595,1.20327,1.50353,1.47564,0.76032,0.59674,0.67355,0.43788,1.30987,1.28186,1.6414,0.00127338,0.00127338,0.00127338
13,480.357,1.19905,1.47469,1.47463,0.49796,0.64428,0.56664,0.37939,1.25406,1.47475,1.60729,0.00125923,0.00125923,0.00125923
14,511.231,1.16311,1.42444,1.45494,0.66202,0.65427,0.65905,0.44766,1.30039,1.26084,1.60981,0.00124509,0.00124509,0.00124509
15,543.49,1.1852,1.408,1.45939,0.62843,0.79398,0.70137,0.49595,1.25795,1.21307,1.59133,0.00123094,0.00123094,0.00123094
16,574.764,1.11498,1.3618,1.40917,0.70426,0.69715,0.69906,0.50771,1.14048,1.26289,1.48993,0.00121679,0.00121679,0.00121679
17,606.585,1.16091,1.36094,1.43392,0.59515,0.76544,0.72441,0.48164,1.27481,1.26779,1.58592,0.00120265,0.00120265,0.00120265
18,637.44,1.14744,1.30889,1.41573,0.59996,0.71622,0.67948,0.48116,1.17531,1.16852,1.51553,0.0011885,0.0011885,0.0011885
19,668.662,1.12572,1.31264,1.41085,0.63018,0.70714,0.6989,0.50665,1.1461,1.2044,1.46639,0.00117435,0.00117435,0.00117435
20,694.704,1.11293,1.32179,1.39546,0.55917,0.76936,0.67779,0.50181,1.15281,1.24757,1.49503,0.00116021,0.00116021,0.00116021
21,726.14,1.14773,1.34162,1.4252,0.74781,0.7004,0.7193,0.49001,1.25025,1.19443,1.56902,0.00114606,0.00114606,0.00114606
22,756.843,1.10192,1.28589,1.38696,0.70117,0.76621,0.73125,0.50173,1.19507,1.15853,1.49833,0.00113191,0.00113191,0.00113191
23,788.394,1.07566,1.23544,1.37946,0.58333,0.81786,0.71916,0.51028,1.16643,1.10731,1.48081,0.00111776,0.00111776,0.00111776
24,821.241,1.08145,1.22852,1.38011,0.61048,0.77491,0.69874,0.49886,1.24753,1.14609,1.5359,0.00110362,0.00110362,0.00110362
25,853.48,1.05395,1.2316,1.3674,0.60588,0.70356,0.69684,0.4918,1.24489,1.16352,1.55471,0.00108947,0.00108947,0.00108947
26,884.279,1.08193,1.18884,1.36096,0.71296,0.76983,0.75246,0.5184,1.20897,1.11196,1.52927,0.00107532,0.00107532,0.00107532
27,916.19,1.04992,1.24612,1.37409,0.72157,0.76096,0.7278,0.52976,1.17016,1.1652,1.48418,0.00106118,0.00106118,0.00106118
28,948.926,1.07412,1.22962,1.38726,0.71365,0.7451,0.76452,0.54537,1.11192,1.07034,1.46819,0.00104703,0.00104703,0.00104703
29,980.443,1.09691,1.22881,1.39655,0.70898,0.81732,0.75891,0.52378,1.22154,1.05576,1.52468,0.00103288,0.00103288,0.00103288
30,1012.17,1.04926,1.15981,1.35702,0.69188,0.76264,0.73826,0.53796,1.19032,1.15944,1.49736,0.00101873,0.00101873,0.00101873
31,1043.81,1.04457,1.17936,1.34102,0.6842,0.78521,0.7306,0.50785,1.23507,1.15136,1.54741,0.00100459,0.00100459,0.00100459
32,1075.07,1.01381,1.12564,1.31283,0.66324,0.75715,0.72304,0.49562,1.31498,1.15956,1.59984,0.00099044,0.00099044,0.00099044
33,1105.54,1.03954,1.15235,1.32953,0.68195,0.77289,0.74423,0.5312,1.16563,1.07249,1.47426,0.000976293,0.000976293,0.000976293
34,1136.6,1.00211,1.10067,1.3358,0.74035,0.69196,0.73712,0.50283,1.20069,1.09758,1.49939,0.000962146,0.000962146,0.000962146
35,1167.81,1.03884,1.12539,1.34473,0.69456,0.70679,0.74726,0.53444,1.27699,1.07077,1.59269,0.000947999,0.000947999,0.000947999
36,1199.97,1.02557,1.13328,1.33719,0.6405,0.83239,0.77419,0.54694,1.17698,1.04917,1.49861,0.000933851,0.000933851,0.000933851
37,1231.18,0.99391,1.09286,1.32085,0.67605,0.76477,0.74235,0.54344,1.17003,1.05938,1.49132,0.000919704,0.000919704,0.000919704
38,1262.03,0.98461,1.03132,1.2976,0.66458,0.73621,0.73569,0.53252,1.18156,1.12336,1.5153,0.000905557,0.000905557,0.000905557
39,1292.13,0.99413,1.02759,1.31131,0.64521,0.76572,0.70107,0.50133,1.20772,1.24201,1.51055,0.00089141,0.00089141,0.00089141
40,1324.42,1.00761,1.08816,1.30844,0.71484,0.72334,0.78591,0.57637,1.12666,1.00919,1.43394,0.000877263,0.000877263,0.000877263
41,1355.46,0.97564,1.0252,1.29993,0.67006,0.73792,0.71433,0.52215,1.18712,1.16903,1.49129,0.000863116,0.000863116,0.000863116
