epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1735.89,1.05804,1.08123,1.44716,0.67946,0.73136,0.73035,0.54033,1.1575,1.04402,1.58454,0.000848969,0.000848969,0.000848969
43,1802.87,1.02661,1.05701,1.40879,0.77644,0.73893,0.76306,0.5561,1.16492,1.05064,1.58359,0.000834822,0.000834822,0.000834822
44,1872.11,0.99427,1.02116,1.38542,0.72469,0.73371,0.74838,0.52707,1.16356,1.08879,1.61679,0.000820675,0.000820675,0.000820675
45,1930.57,0.9896,1.03011,1.3872,0.65805,0.77368,0.77747,0.5694,1.13356,0.99111,1.56857,0.000806528,0.000806528,0.000806528
46,1964.24,0.97544,0.97837,1.37292,0.65206,0.82835,0.78696,0.58782,1.1215,0.99448,1.56656,0.00079238,0.00079238,0.00079238
47,1997.98,0.99879,1.00741,1.39251,0.62736,0.79037,0.75787,0.55404,1.20336,1.14372,1.60725,0.000778233,0.000778233,0.000778233
48,2032.67,0.97929,1.01164,1.36773,0.74758,0.73963,0.77372,0.55896,1.18967,1.02099,1.59898,0.000764086,0.000764086,0.000764086
49,2067.24,0.98414,1.03303,1.36094,0.68289,0.79827,0.72107,0.53609,1.13981,1.0453,1.55388,0.000749939,0.000749939,0.000749939
50,2131.14,0.98064,1.02539,1.36555,0.7235,0.77811,0.77926,0.55881,1.13832,0.9884,1.57816,0.000735792,0.000735792,0.000735792
51,2199.83,0.97024,0.99346,1.35612,0.70158,0.78587,0.75994,0.56175,1.1033,0.99659,1.56821,0.000721645,0.000721645,0.000721645
52,2256.67,0.95549,0.98469,1.34876,0.76907,0.7276,0.76227,0.5502,1.15112,0.95197,1.60475,0.000707498,0.000707498,0.000707498
53,2290.54,0.95893,0.95936,1.35335,0.68144,0.80754,0.77262,0.54206,1.2378,1.00606,1.69331,0.000693351,0.000693351,0.000693351
54,2325.05,0.9657,0.95167,1.35836,0.65212,0.80754,0.78437,0.58183,1.1596,0.99245,1.58918,0.000679204,0.000679204,0.000679204
55,2359.78,0.93042,0.9219,1.34433,0.81914,0.71872,0.82303,0.58736,1.17042,0.9359,1.6105,0.000665057,0.000665057,0.000665057
56,2394.45,0.97394,0.98789,1.35849,0.70086,0.74382,0.76037,0.56106,1.11393,1.06229,1.55662,0.000650909,0.000650909,0.000650909
57,2429.13,0.92381,0.91427,1.33702,0.70401,0.76602,0.80323,0.58173,1.16704,0.92813,1.61851,0.000636762,0.000636762,0.000636762
58,2464.98,0.95521,0.94807,1.34283,0.74156,0.74102,0.77563,0.55813,1.14329,0.93437,1.59015,0.000622615,0.000622615,0.000622615
59,2500.04,0.93708,0.90262,1.33958,0.66758,0.7338,0.74673,0.5428,1.16359,1.071,1.58174,0.000608468,0.000608468,0.000608468
60,2534.27,0.91271,0.88065,1.33078,0.74478,0.69672,0.76231,0.56284,1.1411,1.03407,1.59059,0.000594321,0.000594321,0.000594321
61,2568.4,0.89163,0.8652,1.29065,0.75084,0.78353,0.77955,0.57142,1.14557,0.96089,1.57682,0.000580174,0.000580174,0.000580174
62,2603.13,0.93346,0.90791,1.34292,0.69931,0.81939,0.78299,0.57657,1.13384,0.99549,1.56533,0.000566027,0.000566027,0.000566027
63,2636.87,0.90414,0.91227,1.31771,0.73058,0.76268,0.77297,0.58751,1.11001,1.04134,1.57133,0.00055188,0.00055188,0.00055188
64,2680.16,0.9144,0.8657,1.32056,0.71241,0.80378,0.7996,0.58271,1.15905,0.91533,1.58831,0.000537733,0.000537733,0.000537733
65,2747.6,0.88352,0.85202,1.3038,0.76473,0.7197,0.78297,0.58009,1.19389,0.97516,1.60684,0.000523586,0.000523586,0.000523586
66,2814.58,0.92727,0.85388,1.32788,0.73737,0.80103,0.80498,0.58488,1.13322,0.88694,1.58208,0.000509438,0.000509438,0.000509438
67,2882.47,0.89384,0.81573,1.31145,0.70802,0.77975,0.78635,0.58174,1.15001,0.98508,1.57898,0.000495291,0.000495291,0.000495291
68,2934.24,0.88563,0.85367,1.30137,0.79217,0.74746,0.79858,0.589,1.14231,0.91836,1.58709,0.000481144,0.000481144,0.000481144
69,2968.33,0.87206,0.81993,1.29179,0.81218,0.74473,0.82477,0.58822,1.17683,0.90196,1.63284,0.000466997,0.000466997,0.000466997
70,3003.23,0.87297,0.7907,1.27579,0.77588,0.73348,0.80354,0.57414,1.17545,0.908,1.61807,0.00045285,0.00045285,0.00045285
71,3037.37,0.86581,0.82215,1.27331,0.75491,0.72842,0.78222,0.57334,1.14597,0.93857,1.60495,0.000438703,0.000438703,0.000438703
72,3071.96,0.87099,0.80941,1.30281,0.72099,0.81479,0.79989,0.59527,1.16087,0.93093,1.60719,0.000424556,0.000424556,0.000424556
