epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1347.41,0.75694,1.05663,1.12713,0.72161,0.58505,0.72737,0.59174,0.77644,0.89485,1.09768,0.000848969,0.000848969,0.000848969
43,1375.76,0.74233,1.02984,1.11105,0.7599,0.70686,0.76175,0.62382,0.74971,0.8528,1.0874,0.000834822,0.000834822,0.000834822
44,1403.8,0.71354,0.9833,1.10636,0.63642,0.79999,0.74051,0.59002,0.77079,0.86073,1.13655,0.000820675,0.000820675,0.000820675
45,1432.07,0.74754,0.98095,1.12031,0.69574,0.70295,0.75821,0.61839,0.7294,0.85036,1.09464,0.000806528,0.000806528,0.000806528
46,1460.17,0.73319,1.02981,1.10513,0.7206,0.72908,0.78047,0.6195,0.80354,0.8219,1.11756,0.00079238,0.00079238,0.00079238
47,1488.52,0.73316,1.04268,1.11454,0.73495,0.74087,0.76951,0.62469,0.77177,0.81672,1.10678,0.000778233,0.000778233,0.000778233
48,1516.88,0.73402,0.99416,1.10623,0.71439,0.74625,0.80563,0.65248,0.74422,0.78838,1.10541,0.000764086,0.000764086,0.000764086
49,1545.34,0.70622,0.95688,1.09243,0.73522,0.7686,0.78291,0.64016,0.74174,0.80688,1.10985,0.000749939,0.000749939,0.000749939
50,1573.73,0.71695,0.96473,1.09974,0.72067,0.79632,0.81199,0.65973,0.72993,0.78211,1.07246,0.000735792,0.000735792,0.000735792
51,1602.07,0.72661,0.98438,1.1121,0.72023,0.77081,0.78886,0.638,0.73074,0.84542,1.08879,0.000721645,0.000721645,0.000721645
52,1630.12,0.70598,0.97447,1.09711,0.6858,0.75075,0.77715,0.63195,0.72731,0.80717,1.0878,0.000707498,0.000707498,0.000707498
53,1658.42,0.67572,0.93051,1.08661,0.73749,0.77879,0.79861,0.65384,0.74034,0.79965,1.07792,0.000693351,0.000693351,0.000693351
54,1686.54,0.69987,0.94413,1.08561,0.69481,0.77091,0.76731,0.61818,0.75526,0.81047,1.12332,0.000679204,0.000679204,0.000679204
55,1715.02,0.71503,0.96941,1.09926,0.6725,0.76727,0.77275,0.63559,0.70631,0.7833,1.07739,0.000665057,0.000665057,0.000665057
